Step_Index,Voltage,Test_Time,SoC,discharge_new
1,3.35,455.0,9.458448206448034e-05,0.1265646388888889
1,3.37,635.0,0.0257709874759546,0.1766273611111111
1,3.38,815.0,0.0514534453583638,0.2267018888888888
1,3.4,995.0,0.0771320281121208,0.2767688611111111
1,3.42,1175.0,0.1028044420029868,0.3268238055555555
1,3.43,1355.0,0.1284859311032329,0.3768964444444444
1,3.44,1535.0,0.1541655681199321,0.4269654722222222
1,3.45,1715.0,0.1798382242063388,0.4770208888888889
1,3.45,1895.0,0.2055209527778818,0.5270959444444445
1,3.46,2075.0,0.2312022994101627,0.5771683055555555
1,3.46,2255.0,0.2568791298079484,0.6272318611111111
1,3.47,2435.0,0.2825571569366413,0.67729775
1,3.47,2615.0,0.3082364805238172,0.7273661666666666
1,3.48,2795.0,0.3339152057455393,0.7774334166666667
1,3.49,2975.0,0.359598561176129,0.8275096944444444
1,3.5,3155.0,0.3852842103409575,0.8775904444444445
1,3.51,3335.0,0.410960342645714,0.9276526388888888
1,3.52,3515.0,0.4366428290217161,0.9777272222222222
1,3.53,3695.0,0.462320414499717,1.02779225
1,3.55,3875.0,0.4880029721097018,1.077866972222222
1,3.56,4055.0,0.5136819965141508,1.1279348055555554
1,3.58,4235.0,0.5393627305341817,1.1780059722222225
1,3.59,4415.0,0.5650461144583644,1.2280823055555556
1,3.61,4595.0,0.5907254095519472,1.2781506666666669
1,3.63,4775.0,0.6164055879469139,1.32822075
1,3.67,5017.0,0.6420864501881134,1.3782921666666668
1,3.7,5197.0,0.6677635227814398,1.4283561944444445
1,3.73,5377.0,0.6934466217696922,1.4784319722222223
1,3.75,5557.0,0.7191231102443614,1.528494861111111
1,3.77,5737.0,0.7448051977100613,1.5785686666666667
1,3.8,5917.0,0.7704854473390106,1.628638888888889
1,3.82,6097.0,0.7961666515033264,1.6787109722222224
1,3.88,6336.0,0.8218503346102357,1.7287878888888888
1,3.93,6578.0,0.8475351147204769,1.7788669444444445
1,4.0,6818.0,0.873233443534204,1.8289724166666663
1,4.09,7109.0,0.8989080941721229,1.8790317222222224
1,4.19,7413.0,0.9245950397954344,1.929115
1,3.98,9014.0,0.9581573011028248,1.9945532222222224
1,4.0,9194.0,0.9774638331536004,2.03219625
1,4.01,9374.0,0.9878706478636688,2.052487
1,4.02,9554.0,0.9941244216619805,2.064680333333333
1,4.03,9734.0,0.998241489412536,2.072707611111111
2,3.99,75.0,0.9957218864616368,2.067823805555556
2,3.96,255.0,0.9854592208387096,2.0478141111111112
2,3.94,435.0,0.975195030808555,2.0278014444444445
2,3.92,615.0,0.9649282478614348,2.0077837222222223
2,3.9,795.0,0.9546623482156984,1.9877677222222223
2,3.88,975.0,0.9444008935704749,1.967760388888889
2,3.87,1155.0,0.9341409348388854,1.9477559722222224
2,3.86,1335.0,0.9238766735747485,1.927743166666667
2,3.85,1515.0,0.913611101605332,1.9077278055555555
2,3.83,1695.0,0.903349248049806,1.8877196944444443
2,3.82,1875.0,0.8930891183566583,1.8677149444444443
2,3.81,2055.0,0.882826068070225,1.8477045
2,3.8,2235.0,0.8725614933765646,1.8276910833333333
2,3.79,2415.0,0.8622966052533808,1.807677055555556
2,3.78,2595.0,0.8520315034282494,1.7876626111111111
2,3.77,2775.0,0.8417681254654963,1.7676515277777778
2,3.76,2955.0,0.8314998181111488,1.7476308333333337
2,3.75,3135.0,0.8212364971355819,1.727619861111111
2,3.74,3315.0,0.8109751137243408,1.707612666666667
2,3.73,3495.0,0.8007052392223768,1.6875889166666669
2,3.72,3734.0,0.7904470328467587,1.6675879166666667
2,3.71,3914.0,0.7801775715018936,1.6475649722222223
2,3.7,4094.0,0.7699168291964957,1.6275590277777778
2,3.69,4274.0,0.7596512714738759,1.6075436944444446
2,3.68,4454.0,0.7493899877902104,1.5875366944444445
2,3.67,4634.0,0.7391237034809682,1.5675199444444443
2,3.65,4814.0,0.7288622773293377,1.5475126666666668
2,3.65,4994.0,0.7185995119788346,1.527502777777778
2,3.63,5174.0,0.7083393537920941,1.5074979722222224
2,3.63,5354.0,0.6980791101245742,1.4874930000000002
2,3.62,5534.0,0.6878130252704833,1.467476638888889
2,3.61,5714.0,0.6775467552080375,1.4474599166666668
2,3.6,5894.0,0.667280214456458,1.4274426666666669
2,3.59,6074.0,0.6570166085449607,1.407431138888889
2,3.58,6254.0,0.646749398193945,1.3874125833333335
2,3.57,6434.0,0.6364878010807563,1.3674049722222223
2,3.56,6614.0,0.6262194082456298,1.3473841111111111
2,3.55,6794.0,0.6159562724784174,1.3273735000000002
2,3.54,6974.0,0.605692965749647,1.3073625555555557
2,3.53,7154.0,0.5954266244532187,1.2873456944444446
2,3.52,7334.0,0.5851606963138892,1.267329638888889
2,3.51,7514.0,0.5748948109149495,1.2473136666666669
2,3.5,7694.0,0.5646271446664453,1.2272942222222225
2,3.5,7874.0,0.5543637382100992,1.2072830833333337
2,3.49,8054.0,0.5440997903754854,1.187270888888889
2,3.48,8234.0,0.5338368683102208,1.1672606944444444
2,3.47,8414.0,0.5235698859079494,1.1472425833333335
2,3.47,8594.0,0.513301165396503,1.1272210833333334
2,3.46,8774.0,0.5030385710075582,1.107211527777778
2,3.46,8954.0,0.4927757486698692,1.0872015277777778
2,3.45,9134.0,0.4825130545533488,1.0671917777777775
2,3.45,9314.0,0.472250018513712,1.0471813611111112
2,3.44,9494.0,0.4619811697810971,1.0271596111111112
2,3.44,9674.0,0.4517116087086563,1.0071364722222222
2,3.43,9854.0,0.4414466351046935,0.9871222777777778
2,3.43,10034.0,0.4311821743854053,0.9671090833333332
2,3.43,10214.0,0.4209172577686285,0.947095
2,3.43,10394.0,0.4106475114878332,0.9270715
2,3.42,10574.0,0.4003822814415331,0.9070568055555556
2,3.42,10754.0,0.3901158831579187,0.8870398333333334
2,3.41,10934.0,0.3798492996659496,0.8670225
2,3.41,11114.0,0.3695865628090398,0.8470126666666667
2,3.41,11294.0,0.3593215179710942,0.8269983333333334
2,3.4,11474.0,0.3490570145114164,0.8069850555555556
2,3.4,11654.0,0.3387902315642962,0.7869673333333334
2,3.4,11834.0,0.3285292185697647,0.7669608611111112
2,3.4,12014.0,0.3182649857992206,0.7469481111111111
2,3.39,12194.0,0.3080022631891072,0.7269383055555556
2,3.4,12374.0,0.2977396688001624,0.70692875
2,3.41,12616.0,0.287479211430695,0.6869233611111112
2,3.41,12796.0,0.2772167595097152,0.6669140833333334
2,3.41,12976.0,0.2669487513380948,0.6468939722222222
2,3.41,13156.0,0.2566859574939987,0.6268840277777779
2,3.4,13336.0,0.2464258135540545,0.60687925
2,3.4,13516.0,0.23616068323533,0.5868647499999999
2,3.4,13696.0,0.2258907659929765,0.5668409166666667
2,3.39,13876.0,0.2156256356742518,0.5468264166666668
2,3.39,14056.0,0.2053617875672138,0.5268144166666667
2,3.38,14236.0,0.1950940073443374,0.5067947500000001
2,3.38,14416.0,0.1848292189487295,0.4867809166666668
2,3.37,14596.0,0.1745671089508661,0.4667723055555557
2,3.37,14776.0,0.164302349048851,0.4467585277777779
2,3.36,14956.0,0.1540382729930687,0.4267460833333334
2,3.36,15136.0,0.143773085687158,0.4067314722222223
2,3.37,15378.0,0.1335114315867833,0.38672375
2,3.36,15558.0,0.1232479538964546,0.3667124722222222
2,3.35,15738.0,0.1129791763978222,0.3466908611111111
2,3.34,15918.0,0.102708575309236,0.3266656944444445
2,3.33,16098.0,0.0924415929069645,0.3066475833333333
2,3.34,16339.0,0.0821786993352928,0.2866374444444444
2,3.36,16582.0,0.071912614481202,0.2666210833333333
2,3.35,16762.0,0.0616488518549429,0.2466092500000001
2,3.36,17003.0,0.0513835505746601,0.2265944166666667
2,3.36,17246.0,0.0411202865862792,0.2065835555555555
2,3.35,17487.0,0.0308500986547918,0.1865591944444444
2,3.29,17730.0,0.020588886205109,0.1665523333333333
2,3.06,17910.0,0.0103244397326172,0.1465391666666667
2,2.51,18090.0,5.665950974087508e-05,0.1265195
